draw,date,shift,demand_sample,total_cost,coverage_rate,shortfall
119,2025-10-29,morning,21.133366812682965,376.0,1.0,0.0
119,2025-10-29,night,12.650397455861324,284.0,1.0,0.0
120,2025-10-29,evening,74.13432848455629,1320.0,1.0,0.0
120,2025-10-29,morning,39.5342561324121,660.0,1.0,0.0
120,2025-10-29,night,36.11248854847582,660.0,1.0,0.0
121,2025-10-29,evening,74.65783593752256,1320.0,1.0,0.0
121,2025-10-29,morning,48.29601237319305,944.0,1.0,0.0
121,2025-10-29,night,6.997869437068445,284.0,1.0,0.0
122,2025-10-29,evening,63.11521129535386,1036.0,1.0,0.0
122,2025-10-29,morning,41.990372603222994,752.0,1.0,0.0
122,2025-10-29,night,10.903212465287616,284.0,1.0,0.0
123,2025-10-29,evening,41.695657643760555,752.0,1.0,0.0
123,2025-10-29,morning,37.7918948100641,660.0,1.0,0.0
123,2025-10-29,night,61.29271665107782,1036.0,1.0,0.0
124,2025-10-29,evening,21.991106508223464,376.0,1.0,0.0
124,2025-10-29,morning,31.670220114492537,568.0,1.0,0.0
124,2025-10-29,night,28.850384721611285,568.0,1.0,0.0
125,2025-10-29,evening,84.6371250437314,1412.0,1.0,0.0
125,2025-10-29,morning,20.961962083773347,376.0,1.0,0.0
125,2025-10-29,night,42.61815982995488,752.0,1.0,0.0
126,2025-10-29,evening,33.12572357269506,660.0,1.0,0.0
126,2025-10-29,morning,33.43379962398704,660.0,1.0,0.0
126,2025-10-29,night,34.01508190590559,660.0,1.0,0.0
127,2025-10-29,evening,21.820757348405404,376.0,1.0,0.0
127,2025-10-29,morning,39.00518601616328,660.0,1.0,0.0
127,2025-10-29,night,19.750191285385586,376.0,1.0,0.0
128,2025-10-29,evening,74.03643637628623,1320.0,1.0,0.0
128,2025-10-29,morning,44.113212788286816,752.0,1.0,0.0
128,2025-10-29,night,33.3019640128326,660.0,1.0,0.0
129,2025-10-29,evening,79.54248739580714,1320.0,1.0,0.0
129,2025-10-29,morning,49.02677498749901,944.0,1.0,0.0
129,2025-10-29,night,29.82588564078717,568.0,1.0,0.0
130,2025-10-29,evening,86.5063788598796,1412.0,1.0,0.0
130,2025-10-29,morning,11.811948468697423,284.0,1.0,0.0
130,2025-10-29,night,45.90965938587477,752.0,1.0,0.0
131,2025-10-29,evening,42.89358503430219,752.0,1.0,0.0
131,2025-10-29,morning,70.62382077160716,1128.0,1.0,0.0
131,2025-10-29,night,39.25966841914665,660.0,1.0,0.0
132,2025-10-29,evening,80.50382437732144,1412.0,1.0,0.0
132,2025-10-29,morning,15.261620626029671,284.0,1.0,0.0
132,2025-10-29,night,17.033995908047388,376.0,1.0,0.0
133,2025-10-29,evening,85.02972877193766,1412.0,1.0,0.0
133,2025-10-29,morning,41.257737647785774,752.0,1.0,0.0
133,2025-10-29,night,51.37755103951791,944.0,1.0,0.0
134,2025-10-29,evening,51.477771064938835,944.0,1.0,0.0
134,2025-10-29,morning,45.9820416358272,752.0,1.0,0.0
134,2025-10-29,night,18.280404834645523,376.0,1.0,0.0
135,2025-10-29,evening,44.33635657725369,752.0,1.0,0.0
135,2025-10-29,morning,18.741990486921186,376.0,1.0,0.0
135,2025-10-29,night,23.313527956187585,376.0,1.0,0.0
136,2025-10-29,evening,51.460955418898784,944.0,1.0,0.0
136,2025-10-29,morning,30.92230232806277,568.0,1.0,0.0
136,2025-10-29,night,55.83208234332097,944.0,1.0,0.0
137,2025-10-29,evening,79.01106686208591,1320.0,1.0,0.0
137,2025-10-29,morning,25.64748930682606,568.0,1.0,0.0
137,2025-10-29,night,51.39462402070158,944.0,1.0,0.0
138,2025-10-29,evening,44.889281103886574,752.0,1.0,0.0
138,2025-10-29,morning,47.77441153842912,752.0,1.0,0.0
138,2025-10-29,night,55.80118744549576,944.0,1.0,0.0
139,2025-10-29,evening,71.56350171732942,1128.0,1.0,0.0
139,2025-10-29,morning,50.95391791987035,944.0,1.0,0.0
139,2025-10-29,night,26.754827977228807,568.0,1.0,0.0
140,2025-10-29,evening,55.40620002205689,944.0,1.0,0.0
140,2025-10-29,morning,18.068279887925044,376.0,1.0,0.0
140,2025-10-29,night,54.61475381547947,944.0,1.0,0.0
141,2025-10-29,evening,80.35311030151624,1412.0,1.0,0.0
141,2025-10-29,morning,39.180339622854845,660.0,1.0,0.0
141,2025-10-29,night,6.009152002137363,284.0,1.0,0.0
142,2025-10-29,evening,40.168411142586535,752.0,1.0,0.0
142,2025-10-29,morning,19.314814002348655,376.0,1.0,0.0
142,2025-10-29,night,10.183441470782839,284.0,1.0,0.0
143,2025-10-29,evening,61.80278214793391,1036.0,1.0,0.0
143,2025-10-29,morning,40.187787203440365,752.0,1.0,0.0
